Year Released,Album Length,Album Name,Artist
2022,5769992,HEROES & VILLAINS (Heroes Version),Metro Boomin
2022,5769992,HEROES & VILLAINS (Heroes Version),Metro Boomin
2022,5769992,HEROES & VILLAINS (Heroes Version),Metro Boomin
2022,2884996,HEROES & VILLAINS,Metro Boomin
2022,2884996,HEROES & VILLAINS,Metro Boomin
2020,6345088,SAVAGE MODE II [CHOPPED NOT SLOPPED],21 Savage
2020,2640651,SAVAGE MODE II,21 Savage
2020,2640650,SAVAGE MODE II,21 Savage
2018,5250459,NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin
2018,5226498,NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin
2017,2494104,Double Or Nothing (& Metro Boomin),Big Sean
2017,2494104,Double Or Nothing (& Metro Boomin),Big Sean
2017,2009424,Without Warning,21 Savage
2017,2009424,Without Warning,21 Savage
2017,3326796,Perfect Timing,NAV
2017,3326792,Perfect Timing,NAV
2016,1946903,Savage Mode,21 Savage
2014,3638905,19 & Boomin,Metro Boomin
2022,3920416,It's Only Me,Lil Baby
2022,3920416,It's Only Me,Lil Baby
2021,3592852,The Voice of the Heroes,Lil Baby
2021,3592852,The Voice of the Heroes,Lil Baby
2020,4885512,My Turn (Deluxe),Lil Baby
2020,4887271,My Turn (Deluxe),Lil Baby
2020,4632784,My Turn (Deluxe),Lil Baby
2020,4634543,My Turn (Deluxe),Lil Baby
2020,3652848,My Turn,Lil Baby
2020,3654607,My Turn,Lil Baby
2018,2496874,Street Gossip,Lil Baby
2018,2332540,Drip Harder,Lil Baby
2018,3082971,Harder Than Ever,Lil Baby
2017,2932435,Too Hard,Lil Baby
2017,1744557,2 The Hard Way,Lil Baby
2017,1743239,2 The Hard Way,Lil Baby
2017,2470150,Harder Than Hard,Lil Baby
2017,2395130,Perfect Timing,Lil Baby
2022,2838057,D-Day: A Gangsta Grillz Mixtape,Dreamville
2022,2837732,D-Day: A Gangsta Grillz Mixtape,Dreamville
2021,2348898,The Off-Season,J. Cole
2021,2348898,The Off-Season,J. Cole
2020,6325469,Revenge Of The Dreamers III: Director's Cut,Dreamville
2020,6325736,Revenge Of The Dreamers III: Director's Cut,Dreamville
2019,3873926,Revenge Of The Dreamers III,Dreamville
2019,3873926,Revenge Of The Dreamers III,Dreamville
2018,2553943,KOD,J. Cole
2018,2553007,KOD,J. Cole
2016,2671811,4 Your Eyez Only,J. Cole
2016,2671811,4 Your Eyez Only,J. Cole
2016,4038796,"Forest Hills Drive: Live from Fayetteville, NC",J. Cole
2014,3883748,2014 Forest Hills Drive,J. Cole
2014,3884701,2014 Forest Hills Drive,J. Cole
2014,2035188,The Blow Up,J. Cole
2013,4707446,Born Sinner (Deluxe Version),J. Cole
2013,3575074,Born Sinner,J. Cole
2013,3575328,Born Sinner,J. Cole
2011,3468529,Cole World: The Sideline Story,J. Cole
2011,3468542,Cole World: The Sideline Story,J. Cole
2022,3640545,Her Loss,Drake
2022,3640545,Her Loss,Drake
2022,3152558,"Honestly, Nevermind",Drake
2022,3152558,"Honestly, Nevermind",Drake
2021,5173117,Certified Lover Boy,Drake
2021,5173116,Certified Lover Boy,Drake
2020,2995371,Dark Lane Demo Tapes,Drake
2020,2991074,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2019,4425273,Care Package,Drake
2019,4437727,So Far Gone,Drake
2018,5426391,Scorpion,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2016,4875485,Views,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,4318651,Nothing Was The Same (Deluxe),Drake
2013,4076943,Nothing Was The Same (Deluxe),Drake
2013,4315290,Nothing Was The Same (Deluxe),Drake
2013,4315290,Nothing Was The Same (Deluxe),Drake
2013,4074330,Nothing Was The Same (Deluxe),Drake
2013,3568770,Nothing Was The Same,Drake
2013,3568090,Nothing Was The Same,Drake
